DIPP-MOTION XYGraphData,,,,,,,,
Info,,,,,,,,
[ポイント_X_座標値] - [ポイント_Y_座標値],,,,,,,,
横軸単位,mm,,,,,,,
縦軸単位,mm,,,,,,,
系列名,[1]P 1,[2]P 2,[3]P 3,[4]P 4,,,,
色,255,65280,16711680,65535,,,,
時間,P 1(X),P 1(Y),P 2(X),P 2(Y),P 3(X),P 3(Y),P 4(X),P 4(Y)
0.099,-1.82E-12,-2.84E-13,-16.07017852,-217.3642154,-53.43280605,-333.2923852,-19.65802779,-333.3142637
0.1,3.52E-12,2.93E-12,-15.86443461,-217.2964946,-53.27093099,-333.2262975,-19.68855878,-333.2805585
0.101,7.84E-12,-5.12E-13,-15.66840541,-217.2355203,-53.11878716,-333.1646081,-19.72962486,-333.2496675
0.102,1.13E-11,-9.66E-13,-15.50738241,-217.2000861,-53.00132834,-333.1256161,-19.80547959,-333.2392625
0.103,6.71E-12,3.84E-12,-15.36264203,-217.1136684,-52.89949333,-333.0323032,-19.89636152,-333.1716981
0.104,-2.09E-11,6.85E-12,-15.18059508,-217.0864022,-52.76018963,-332.9942761,-19.94847794,-333.1559536
0.105,5.00E-12,2.07E-12,-14.98596647,-217.0376876,-52.60749197,-332.932065,-19.98520333,-333.111932
0.106,1.38E-11,2.87E-12,-14.78235569,-217.0017345,-52.44464281,-332.8813319,-20.00938881,-333.0743173
0.107,7.84E-12,-8.81E-13,-14.64818085,-216.9627657,-52.34985391,-332.8264787,-20.09897176,-333.0292012
0.108,7.73E-12,-1.96E-12,-14.48142095,-216.9042802,-52.22074502,-332.7517361,-20.15144352,-332.9596468
0.109,-7.39E-12,-2.05E-12,-14.33402465,-216.8806572,-52.10890556,-332.7122151,-20.21843518,-332.9211765
0.11,1.71E-12,2.96E-12,-14.15426532,-216.8273679,-51.96224964,-332.6441189,-20.24790249,-332.850405
0.111,1.14E-13,2.25E-12,-13.97848192,-216.8008364,-51.81675699,-332.6046033,-20.27586683,-332.8048996
0.112,9.66E-12,1.42E-13,-13.81862764,-216.7273374,-51.68402151,-332.5206751,-20.31396377,-332.7120785
0.113,1.51E-11,3.69E-13,-13.68442504,-216.6919776,-51.57340654,-332.4781725,-20.37159829,-332.6581916
0.114,-3.07E-12,1.22E-12,-13.55605054,-216.6202987,-51.46472925,-332.4033692,-20.42862922,-332.5699239
0.115,5.68E-13,-4.55E-13,-13.47650753,-216.5612643,-51.40149843,-332.3450875,-20.528607,-332.4965093
0.116,6.71E-12,-2.42E-12,-13.28926996,-216.4887574,-51.22705008,-332.277562,-20.51490928,-332.412594
0.117,-4.32E-12,-1.96E-12,-13.14207987,-216.4229026,-51.08972411,-332.2201683,-20.53591764,-332.3379649
0.118,-8.07E-12,-1.65E-12,-13.00585462,-216.3509163,-50.96103577,-332.1593737,-20.56318897,-332.2595009
0.119,1.22E-11,9.38E-13,-12.875736,-216.2820662,-50.83672472,-332.1036967,-20.59250458,-332.1861321
0.12,1.15E-11,3.69E-13,-12.75677992,-216.1884621,-50.72244475,-332.0244978,-20.62955991,-332.0896304
0.121,9.44E-12,1.48E-12,-12.66364815,-216.1140175,-50.6334555,-331.9649416,-20.68965628,-332.0135718
0.122,-1.01E-11,9.95E-13,-12.515223,-216.0417797,-50.48923715,-331.9073259,-20.6923155,-331.9406659
0.123,3.07E-12,1.79E-12,-12.49637238,-215.9544943,-50.47525551,-331.8336475,-20.82304504,-331.8533206
0.124,-8.41E-12,1.28E-12,-12.25750895,-215.874893,-50.24252111,-331.7658886,-20.73289708,-331.77393
0.125,-2.39E-12,3.13E-12,-12.17248208,-215.8007757,-50.16548118,-331.7011002,-20.79636051,-331.6999563
0.126,1.82E-12,-1.56E-12,-11.99554657,-215.7297863,-49.99879169,-331.6352616,-20.76889122,-331.6280153
0.127,3.75E-12,-2.84E-13,-11.90988937,-215.6503924,-49.92503494,-331.5579694,-20.832457,-331.5479845
0.128,1.44E-11,2.56E-13,-11.75808115,-215.5715746,-49.78573656,-331.4785288,-20.82868511,-331.4693745
0.129,-5.80E-12,3.27E-12,-11.64451394,-215.5075948,-49.68424358,-331.4115265,-20.86058052,-331.4064565
0.13,-5.91E-12,-9.09E-13,-11.52372525,-215.4245459,-49.5740485,-331.3233799,-20.8825345,-331.3255999
0.131,6.48E-12,6.25E-13,-11.39630525,-215.3492792,-49.45469647,-331.241265,-20.89459769,-331.2537993
0.132,4.32E-12,-6.25E-13,-11.32091258,-215.2755857,-49.38380112,-331.1592977,-20.95488921,-331.1849889
0.133,1.33E-11,-9.66E-13,-11.20867633,-215.2000588,-49.27144651,-331.0743958,-20.97399863,-331.1159053
0.134,-5.80E-12,-2.36E-12,-11.10511965,-215.1286542,-49.1621108,-330.9928399,-20.99690959,-331.0526473
0.135,-7.62E-12,5.68E-14,-11.03508884,-215.0325079,-49.07959527,-330.8860905,-21.04792886,-330.966494
0.136,-3.18E-12,-5.68E-13,-10.90726695,-214.9767947,-48.93206221,-330.8198716,-21.03572425,-330.9229879
0.137,1.25E-12,-5.68E-13,-10.86494295,-214.8743961,-48.86272936,-330.7067776,-21.10401897,-330.8345418
0.138,1.02E-12,3.52E-12,-10.78458031,-214.7937437,-48.74854204,-330.6149512,-21.13026385,-330.7691171
0.139,-1.71E-12,-1.28E-12,-10.69095699,-214.7580746,-48.61476006,-330.567341,-21.1402242,-330.7494806
0.14,6.59E-12,1.59E-12,-10.6512331,-214.6477582,-48.5290254,-330.4440275,-21.20204747,-330.6555315
0.141,-1.71E-12,-1.76E-12,-10.58296705,-214.577083,-48.4093783,-330.3590104,-21.23427942,-330.6010879
0.142,-2.49E-11,-1.62E-12,-10.53358165,-214.5053974,-48.30372345,-330.2713494,-21.28533022,-330.5450279
0.143,1.14E-13,1.96E-12,-10.48333716,-214.4277504,-48.19280295,-330.1758047,-21.33644748,-330.4819305
0.144,4.55E-13,-4.26E-13,-10.42908668,-214.3632718,-48.07395175,-330.0912174,-21.38434944,-330.4306044
0.145,3.41E-13,-1.51E-12,-10.3934161,-214.2919678,-47.97095208,-329.9981777,-21.45332608,-330.3697441
0.146,7.73E-12,-5.12E-13,-10.34490153,-214.241178,-47.85116848,-329.923653,-21.50966081,-330.3273672
0.147,-3.87E-12,-1.21E-12,-10.30118577,-214.1705047,-47.73181457,-329.8278161,-21.56953564,-330.2632952
0.148,-6.93E-12,2.27E-13,-10.28539095,-214.0844257,-47.63558332,-329.7157151,-21.65461194,-330.1822251
0.149,2.17E-11,-1.62E-12,-10.25043527,-214.0403843,-47.51496377,-329.6453633,-21.71634714,-330.1418193
0.15,3.87E-12,2.54E-12,-10.23623097,-213.965512,-47.40943897,-329.5444625,-21.79319269,-330.0694283
0.151,-8.07E-12,1.58E-12,-10.22976692,-213.8942637,-47.30556862,-329.4480381,-21.87067669,-329.9997263
0.152,8.98E-12,1.42E-14,-10.21554785,-213.8491272,-47.18742829,-329.3791478,-21.93184309,-329.95542
0.153,7.96E-13,2.56E-13,-10.22380345,-213.754543,-47.08481848,-329.2628026,-22.00546081,-329.8611693
0.154,3.98E-12,-4.79E-12,-10.22128004,-213.6803679,-46.96405636,-329.1694294,-22.05681541,-329.7870499
0.155,-4.55E-12,-1.28E-12,-10.25276386,-213.5906892,-46.86949898,-329.0636859,-22.12923232,-329.6973682
0.156,6.14E-12,-2.00E-12,-10.26566522,-213.5165562,-46.74812749,-328.9771916,-22.1686611,-329.6233929
0.157,1.25E-12,1.85E-13,-10.3122661,-213.4312623,-46.65179469,-328.88381,-22.22592295,-329.5386362
0.158,-5.57E-12,3.69E-13,-10.29757972,-213.3665122,-46.48568698,-328.8156717,-22.20483192,-329.4752765
0.159,3.52E-12,-8.10E-13,-10.4010102,-213.2424213,-46.42981077,-328.6921997,-22.28612621,-329.3526893
0.16,-5.68E-13,2.36E-12,-10.4576485,-213.1275594,-46.32046937,-328.5809812,-22.306513,-329.2391968
0.161,6.14E-12,-3.69E-13,-10.55826904,-213.0327437,-46.24964958,-328.4918504,-22.35838297,-329.145368
0.162,1.24E-11,-2.29E-12,-10.60172115,-212.9245197,-46.11741312,-328.39037,-22.34220171,-329.0375007
0.163,-5.46E-12,-9.24E-13,-10.65842709,-212.8246584,-45.9953946,-328.2973283,-22.33000771,-328.937118
0.164,-1.59E-12,-3.08E-12,-10.75680344,-212.7386833,-45.91322299,-328.2172655,-22.35183381,-328.8494954
0.165,1.63E-11,-3.13E-13,-10.82044672,-212.6371937,-45.79570718,-328.1197984,-22.33289277,-328.7449843
0.166,1.25E-12,-1.93E-12,-10.8908361,-212.5328617,-45.68473992,-328.0167749,-22.31628002,-328.636009
0.167,4.55E-12,9.24E-13,-10.95348286,-212.4526053,-45.56778342,-327.9341248,-22.28912306,-328.5492394
0.168,9.32E-12,-6.11E-13,-11.02252453,-212.3745113,-45.46015041,-327.8493543,-22.26717569,-328.4625146
0.169,-1.71E-12,1.78E-12,-11.00720832,-212.3120112,-45.27245156,-327.776119,-22.16148964,-328.3898229
0.17,2.16E-12,-1.42E-13,-11.16468659,-212.220545,-45.26079842,-327.6702701,-22.22861749,-328.2873481
0.171,1.09E-11,6.82E-13,-11.22906533,-212.1565636,-45.15863378,-327.5892261,-22.20244312,-328.2128415
0.172,-1.05E-11,3.71E-12,-11.32510352,-212.0677844,-45.09005345,-327.4816714,-22.20750336,-328.1153203
0.173,3.07E-12,3.41E-12,-11.38912788,-212.0095461,-44.99072095,-327.403912,-22.17990281,-328.0514232
0.174,-1.47E-11,-1.34E-12,-11.4686345,-211.9500956,-44.90746921,-327.325162,-22.16691544,-327.9906972
0.175,2.73E-12,2.16E-12,-11.53112082,-211.8892821,-44.80713248,-327.2462379,-22.13581655,-327.9342913
0.176,-4.32E-12,1.61E-12,-11.63017149,-211.8315173,-44.74263222,-327.1725186,-22.13974023,-327.8875932
0.177,8.87E-12,-5.83E-13,-11.63910085,-211.8012466,-44.5866196,-327.1294168,-22.05139707,-327.8749666
0.178,1.71E-12,-1.22E-12,-11.7953391,-211.731587,-44.57586163,-327.0510166,-22.10735127,-327.8292547
0.179,-1.64E-11,-1.39E-12,-11.93038117,-211.6516603,-44.54119006,-326.9674072,-22.13823176,-327.7793055
0.18,-4.09E-12,2.90E-12,-12.00787577,-211.6068029,-44.44678678,-326.9249263,-22.10801764,-327.7702156
0.181,6.59E-12,-1.42E-12,-12.10487876,-211.5657795,-44.36895557,-326.8928541,-22.09280987,-327.7700241
0.182,1.47E-11,-1.45E-12,-12.17986463,-211.5082316,-44.26563382,-326.850653,-22.05133748,-327.7576755
0.183,1.90E-11,1.42E-13,-12.31325577,-211.4645076,-44.21851394,-326.8286495,-22.06427737,-327.7628211
0.184,1.71E-12,-2.13E-13,-12.48378014,-211.3958726,-44.20662208,-326.7876994,-22.11061203,-327.7460292
0.185,-1.17E-11,1.56E-13,-12.57554139,-211.3437382,-44.11436007,-326.7688042,-22.07469966,-327.7480143
0.186,-2.72E-11,-1.44E-12,-12.69137833,-211.2801038,-44.0448649,-326.7435539,-22.05963356,-327.740079
0.187,-7.16E-12,-3.96E-12,-12.78535386,-211.2379212,-43.95249766,-326.7444904,-22.0197312,-327.754478
0.188,-4.09E-12,3.55E-13,-12.93637092,-211.1828908,-43.91645946,-326.7369047,-22.03415001,-327.7562147
0.189,-2.27E-12,7.67E-13,-13.07329009,-211.1183584,-43.86590907,-326.7237326,-22.0308853,-327.7472714
0.19,6.82E-13,2.00E-12,-13.2374122,-211.069259,-43.8424455,-326.7294997,-22.05291791,-327.7534162
0.191,-7.96E-12,-2.22E-12,-13.35793079,-210.9971914,-43.7759974,-326.7160372,-22.03040839,-327.7372852
0.192,1.00E-11,-4.26E-14,-13.46115703,-210.9604553,-43.69257727,-326.7399284,-21.98960113,-327.7562665
0.193,-7.73E-12,2.74E-12,-13.64046632,-210.8528308,-43.6860518,-326.6935079,-22.02459473,-327.7034997
0.194,-1.18E-11,1.86E-12,-13.7928187,-210.8224742,-43.65387232,-326.7234863,-22.03307242,-327.7265004
0.195,4.55E-13,-1.28E-12,-13.91855816,-210.7520339,-43.59687414,-326.7110669,-22.01610141,-327.7072768
0.196,3.98E-12,2.50E-12,-13.96090647,-210.7290392,-43.45877034,-326.7423333,-21.91762666,-327.7327172
